location,year,min(mdc),max(mdc),avg(mdc),stddev_samp(mdc),median
Whitehorse,2012,0.015469158,0.071610841,0.03331816379166667,0.010782418337431952,0.031169356
Calgary,2013,0.017130017,0.041376162,0.03067870696078432,0.006747293936809968,0.029274726
Edmonton,2009,0.011569251,0.076034485,0.03234579509433963,0.010913439949791253,0.030186455
Goose Bay,2014,0.02086177,0.045543718,0.03235632143137255,0.007192911515142183,0.029758268
Quebec City,2014,0.002774109,0.056352228,0.027097899418604653,0.010592774995630624,0.024913135
Regina,2011,0.019772424,0.046427303,0.030358186782608706,0.007037593176393405,0.028171662
Moosonee,2012,0.021519721,0.054256186,0.03292117987500001,0.00821290282895163,0.030137999
Calgary,2012,0.020319003,0.047343262,0.030969580942307694,0.007422421121914414,0.028716049
Charlottetown,2011,0.020985737,0.110958521,0.03285267534615383,0.013315408500272914,0.029824772
Digby,2011,0.01747982,0.095642863,0.034384234102040806,0.01358947859186253,0.031467211
Moosonee,2016,0.023262629,0.070268317,0.03336340005660377,0.009454412900263835,0.029269409
Ottawa,2015,0.012930855,0.0495344,0.029935213196078437,0.007881548074788351,0.026389897
Winnipeg,2016,0.016726473,0.059425852,0.03396209745833335,0.010058511376224294,0.029819882
Quebec City,2013,0.018631101,0.044449878,0.03031534664705882,0.007267559179615758,0.031165931
Regina,2009,0.015505,0.076772318,0.032248377224489796,0.011871014168285818,0.027861232
TEST,2017,1.0,5.0,3.0,1.5811388300841898,3.0
